# Generated by timeskew on an x86 system
0.000000000 0.000000000 1289110.436226228 1289110.436226312 0 1.29e+06 8.41e-08
1.000952526 1.000952512 1.000952730 1.000952973 -1.4e-08 2.04e-07 2.43e-07
2.001552225 2.001552217 2.001552382 2.001552454 -8e-09 1.57e-07 7.2e-08
3.002500948 3.002500936 3.002501147 3.002501288 -1.2e-08 1.99e-07 1.41e-07
4.003110401 4.003110383 4.003110602 4.003110771 -1.8e-08 2.01e-07 1.69e-07
5.004059719 5.004059753 5.004060121 5.004060260 3.4e-08 4.02e-07 1.39e-07
6.004151307 6.004151393 6.004151680 6.004151822 8.6e-08 3.73e-07 1.42e-07
7.005103123 7.005103113 7.005103409 7.005103551 -1e-08 2.86e-07 1.42e-07
8.005930584 8.005930493 8.005930666 8.005930799 -9.1e-08 8.2e-08 1.33e-07
9.006877873 9.006877849 9.006878124 9.006878380 -2.4e-08 2.51e-07 2.56e-07
10.007709017 10.007708980 10.007709255 10.007709402 -3.7e-08 2.38e-07 1.47e-07
11.008387375 11.008387362 11.008387642 11.008387782 -1.3e-08 2.67e-07 1.4e-07
12.008610448 12.008610437 12.008610711 12.008610851 -1.1e-08 2.63e-07 1.4e-07
13.009442119 13.009442106 13.009442381 13.009442542 -1.3e-08 2.62e-07 1.61e-07
14.009534714 14.009534690 14.009534968 14.009535106 -2.4e-08 2.54e-07 1.38e-07
15.010478452 15.010478431 15.010478701 15.010478845 -2.1e-08 2.49e-07 1.44e-07
16.011306497 16.011306486 16.011306890 16.011307030 -1.1e-08 3.93e-07 1.4e-07
17.012248835 17.012248824 17.012249217 17.012249355 -1.1e-08 3.82e-07 1.38e-07
18.012776338 18.012776316 18.012776615 18.012776756 -2.2e-08 2.77e-07 1.41e-07
19.013384851 19.013384838 19.013385118 19.013385257 -1.3e-08 2.67e-07 1.39e-07
20.014382762 20.014382750 20.014383024 20.014383207 -1.2e-08 2.62e-07 1.83e-07
21.015324905 21.015324894 21.015325172 21.015325350 -1.1e-08 2.67e-07 1.78e-07
22.016291682 22.016291670 22.016291963 22.016292104 -1.2e-08 2.81e-07 1.41e-07
23.017034305 23.017034292 23.017034608 23.017034746 -1.3e-08 3.03e-07 1.38e-07
24.017748981 24.017748959 24.017749242 24.017749383 -2.2e-08 2.61e-07 1.41e-07
25.018383675 25.018384265 25.018384553 25.018384694 5.9e-07 8.78e-07 1.41e-07
26.019047561 26.019047537 26.019047837 26.019047913 -2.4e-08 2.76e-07 7.6e-08
27.019683982 27.019683914 27.019684089 27.019684147 -6.8e-08 1.07e-07 5.8e-08
28.020296310 28.020296240 28.020296403 28.020296442 -7e-08 9.3e-08 3.9e-08
29.020391477 29.020391448 29.020391659 29.020391733 -2.9e-08 1.82e-07 7.4e-08
30.020980719 30.020980662 30.020980844 30.020980941 -5.7e-08 1.25e-07 9.7e-08
31.021914145 31.021914102 31.021914362 31.021914433 -4.3e-08 2.17e-07 7.1e-08
32.022797344 32.022797259 32.022797420 32.022797479 -8.5e-08 7.6e-08 5.9e-08
33.023114342 33.023114328 33.023114545 33.023114617 -1.4e-08 2.03e-07 7.2e-08
34.023417494 34.023417443 34.023417658 34.023417759 -5.1e-08 1.64e-07 1.01e-07
35.023709180 35.023709112 35.023709327 35.023709409 -6.8e-08 1.47e-07 8.2e-08
36.023991084 36.023990998 36.023991189 36.023991277 -8.6e-08 1.05e-07 8.8e-08
37.024262413 37.024262324 37.024262485 37.024262558 -8.9e-08 7.2e-08 7.3e-08
38.024525086 38.024524995 38.024525154 38.024525220 -9.1e-08 6.8e-08 6.6e-08
39.024779016 39.024778918 39.024779067 39.024779092 -9.8e-08 5.1e-08 2.5e-08
40.025025393 40.025025334 40.025025531 40.025025614 -5.9e-08 1.38e-07 8.3e-08
41.025792057 41.025791988 41.025792188 41.025792261 -6.9e-08 1.31e-07 7.3e-08
42.026674432 42.026674361 42.026674533 42.026674586 -7.1e-08 1.01e-07 5.3e-08
43.027031355 43.027031270 43.027031471 43.027031507 -8.5e-08 1.16e-07 3.6e-08
44.027382340 44.027382358 44.027382563 44.027382633 1.8e-08 2.23e-07 7e-08
45.027714338 45.027714269 45.027714429 45.027714500 -6.9e-08 9.1e-08 7.1e-08
46.028036801 46.028036827 46.028037044 46.028037121 2.6e-08 2.43e-07 7.7e-08
47.028347691 47.028347629 47.028347805 47.028347861 -6.2e-08 1.14e-07 5.6e-08
48.028647094 48.028647001 48.028647161 48.028647197 -9.3e-08 6.7e-08 3.6e-08
49.029039294 49.029039202 49.029039361 49.029039398 -9.2e-08 6.7e-08 3.7e-08
50.029316385 50.029316371 50.029316587 50.029316662 -1.4e-08 2.02e-07 7.5e-08
51.030243665 51.030243596 51.030243795 51.030243867 -6.9e-08 1.3e-07 7.2e-08
52.031124275 52.031124207 52.031124382 52.031124446 -6.8e-08 1.07e-07 6.4e-08
53.031301918 53.031301850 53.031302011 53.031302055 -6.8e-08 9.3e-08 4.4e-08
54.031477523 54.031477499 54.031477722 54.031477802 -2.4e-08 1.99e-07 8e-08
55.031645277 55.031645179 55.031645337 55.031645386 -9.8e-08 6e-08 4.9e-08
56.031809779 56.031809786 56.031809987 56.031810066 7e-09 2.08e-07 7.9e-08
57.031969761 57.031969737 57.031969952 57.031970035 -2.4e-08 1.91e-07 8.3e-08
58.032155178 58.032155168 58.032155375 58.032155445 -1e-08 1.97e-07 7e-08
59.032305214 59.032305191 59.032305410 59.032305483 -2.3e-08 1.96e-07 7.3e-08
60.032851989 60.032851898 60.032852059 60.032852096 -9.1e-08 7e-08 3.7e-08
61.033469263 61.033469218 61.033469419 61.033469472 -4.5e-08 1.56e-07 5.3e-08
62.034349520 62.034349465 62.034349625 62.034349695 -5.5e-08 1.05e-07 7e-08
63.035313815 63.035313747 63.035313907 63.035313973 -6.8e-08 9.2e-08 6.6e-08
64.036192371 64.036192345 64.036192563 64.036192648 -2.6e-08 1.92e-07 8.5e-08
65.036958075 65.036957983 65.036958143 65.036958178 -9.2e-08 6.8e-08 3.5e-08
66.037833709 66.037833644 66.037833803 66.037833840 -6.5e-08 9.4e-08 3.7e-08
67.038674436 67.038674352 67.038674526 67.038674595 -8.4e-08 9e-08 6.9e-08
68.039553017 68.039552930 68.039553090 68.039553162 -8.7e-08 7.3e-08 7.2e-08
69.040467085 69.040467000 69.040467160 69.040467233 -8.5e-08 7.5e-08 7.3e-08
