1 516.731 511.727 524.017
2 1846.16 1839.08 1853.28
3 4063.46 4000 4186.05
4 5496.72 5363.13 5714.29
5 7295.04 7272.73 7361.96
6 8649.04 8571.43 8727.27
7 10308.1 10120.5 10434.8
8 11851.9 11851.9 11851.9
10 15868.2 15789.5 16000
12 20176.8 19862.1 20281.7
14 24983.2 24705.9 25263.2
16 30118.1 30000 30236.2
20 46691.2 40678 52173.9
24 72958.2 71111.1 74805.2
28 108551 101818 112000
32 120000 120000 120000
40 120000 120000 120000
48 143220 137143 147692
56 216027 210000 224000
64 202193 196923 207568
