1 551.739 547.945 555.556
2 2432.82 2016.81 2580.65
3 4709.09 4285.71 5142.86
4 6019.46 5925.93 6075.95
5 7481.02 7317.07 7792.21
6 9143.13 9113.92 9230.77
7 10500 10500 10500
8 11854.5 11566.3 12000
10 16342.7 15789.5 17142.9
12 22171.8 21176.5 22857.1
14 25742.9 24347.8 28474.6
16 29483.7 27428.6 30967.7
20 42077.2 36363.6 45283
24 49474.3 48000 51428.6
28 60680.6 52500 74666.7
32 72072.5 65084.7 76800
40 87182.5 81355.9 92307.7
48 102908 101053 106667
56 115896 113898 117895
64 119077 118154 120000
