1 0.282 0.267 0.300
2 0.268 0.267 1.032
3 0.523 0.272 0.619
4 0.6455 0.268 0.801
5 0.2855 0.279 0.943
6 0.3065 0.276 0.739
7 0.4895 0.279 0.738
8 0.54 0.274 1.032
10 0.433 0.278 0.799
12 0.4065 0.295 0.712
14 0.5905 0.282 0.949
16 0.427 0.285 0.808
20 0.4095 0.289 0.762
24 0.5605 0.300 0.858
28 0.392 0.308 0.746
32 0.4435 0.307 0.916
40 0.454 0.333 0.725
48 0.5355 0.369 0.906
56 0.409 0.326 0.616
64 0.449 0.352 0.756
80 0.501 0.376 0.686
96 0.505 0.383 0.691
112 0.426 0.368 0.563
128 0.595 0.454 0.765
160 0.5575 0.452 0.741
192 0.543 0.425 0.756
