1 25638.8 24162.7 26239.1
2 48798.8 46650.9 49891.8
3 73084.4 70841.6 74276.4
4 95978 93559.3 96792.3
5 119500 116970 120990
6 143474 138259 145078
7 168041 163831 169163
8 191133 184735 193427
10 239710 232154 241727
12 279822 273877 281650
14 325977 319367 328373
16 342987 337537 347222
20 400318 398351 404117
24 462569 461652 464308
28 539550 537918 541030
32 634771 630860 636660
40 818107 811856 821675
48 937395 934159 942427
56 1.07727e+06 1.07492e+06 1.08106e+06
64 1265208 1.23441e+06 1.27043e+06
80 1536568 1.53054e+06 1.54107e+06
96 1888052 1.84849e+06 1.89789e+06
112 2.14608e+06 2.13933e+06 2.15493e+06
128 2.48388e+06 2.47376e+06 2.49959e+06
160 3.07321e+06 3.06514e+06 3.08529e+06
192 3663096 3.63694e+06 3.68421e+06
224 4.27012e+06 4.25239e+06 4.28542e+06
256 4.80279e+06 4.7806e+06 4.81818e+06
320 5.86651e+06 5.84999e+06 5.90681e+06
384 6.93531e+06 6.89154e+06 6.96663e+06
420 7.5283e+06 7.48272e+06 7.56707e+06
