1 0.267 0.267 0.283
2 0.279 0.266 0.309
3 0.286 0.267 0.618
4 0.275 0.268 0.907
5 0.5685 0.270 1.045
6 0.293 0.275 0.649
7 0.594 0.279 0.805
8 0.552 0.276 0.832
10 0.399 0.285 0.915
12 0.439 0.284 0.842
14 0.5595 0.347 0.832
16 0.553 0.300 1.001
20 0.494 0.286 0.877
24 0.409 0.288 0.624
28 0.439 0.303 0.680
32 0.4525 0.284 0.773
40 0.447 0.290 0.828
48 0.445 0.296 0.661
56 0.439 0.337 0.693
64 0.4105 0.295 0.572
80 0.3895 0.316 0.561
96 0.382 0.318 0.517
112 0.378 0.313 0.460
128 0.3875 0.335 0.456
160 0.362 0.322 0.481
192 0.3615 0.327 0.492
